"1";"AF 125";"3364";"1382";"10:00:00";"14:50:00";"137";"Boeing 777-300ER"
"2";"AF 381";"3364";"1382";"02:00:00";"06:55:00";"137";"Boeing 777-300ER"
"3";"CA 933";"3364";"1382";"14:35:00";"19:40:00";"751";"Boeing 777-300"
"4";"CA 875";"3364";"1382";"03:05:00";"08:25:00";"751";"Airbus A330-200"
"5";"SK 996";"3364";"609";"15:50:00";"19:40:00";"4319";"Airbus A340-300"
"6";"SK 1563";"609";"1382";"20:40:00";"22:30:00";"4319";"Airbus A319"
"7";"CA 961";"3364";"346";"02:10:00";"06:30:00";"751";"Airbus A330-300"
"8";"LH 2226";"346";"1382";"07:30:00";"09:00:00";"3320";"Embraer 195"
"9";"KL 898";"3364";"580";"11:55:00";"16:20:00";"3090";"Boeing 777"
"10";"KL 1243";"580";"1382";"17:30:00";"18:45:00";"3090";"Boeing 737"
"11";"LH 723";"3364";"346";"13:40:00";"18:00:00";"3320";"Airbus A340-600"
"12";"LH 2236";"346";"1382";"19:00:00";"20:30:00";"3320";"Airbus A320"
"13";"CA 737";"3364";"679";"03:55:00";"07:20:00";"751";"Airbus A330-200"
"14";"LO 331";"679";"1382";"08:25:00";"10:55:00";"3210";"Boeing 737-400"
"15";"LH 721";"3364";"340";"11:30:00";"15:45:00";"3320";"Airbus A380-800"
"16";"LH 1040";"340";"1382";"17:20:00";"18:30:00";"3320";"Airbus A321"
"17";"LX 197";"3364";"1678";"07:45:00";"12:20:00";"4559";"Airbus A340-300"
"18";"LX 638";"1678";"1382";"13:35:00";"14:55:00";"4559";"Bombardier CS100"
"19";"AF 1823";"346";"1382";"19:10:00";"20:50:00";"137";"Airbus A318"
"20";"CA 965";"3364";"340";"03:30:00";"07:50:00";"751";"Boeing 777-300"
"21";"LH 1028";"340";"1382";"09:35:00";"10:45:00";"3320";"Airbus A320 (Sharklets)"
"22";"SU 203";"3364";"2985";"06:50:00";"09:50:00";"130";"Airbus A330-300"
"23";"SU 2454";"2985";"1382";"11:10:00";"14:05:00";"130";"Airbus A321"
"24";"AY 52";"3364";"421";"11:55:00";"15:15:00";"2350";"Airbus A350-900"
"25";"AY 873";"421";"1382";"17:05:00";"19:10:00";"2350";"Airbus A321"
"26";"CA 931";"3364";"340";"15:00:00";"19:15:00";"751";"Boeing 777-300"
"27";"AF 1819";"340";"1382";"20:50:00";"22:15:00";"137";"British Aerospace 146-200"
"28";"CA 841";"3364";"1613";"02:50:00";"06:45:00";"751";"Airbus A330-300"
"29";"OS 411";"1613";"1382";"08:05:00";"10:15:00";"491";"Airbus A321"
"30";"U6 874";"3364";"2975";"03:00:00";"06:30:00";"5234";"Airbus A320"
"31";"U6 709";"2975";"1382";"07:50:00";"10:30:00";"5234";"Airbus A320"
"32";"AF 1051";"609";"1382";"21:25:00";"23:20:00";"137";"Airbus A320"
"33";"CA 949";"3364";"1524";"02:30:00";"07:30:00";"751";"Airbus A330"
"34";"AF 1631";"1524";"1382";"08:35:00";"10:05:00";"137";"Airbus A318"
"35";"LH 1050";"340";"1382";"21:25:00";"22:35:00";"3320";"Airbus A320"
"36";"AF 1123";"346";"1382";"08:10:00";"09:50:00";"137";"Airbus A319"
"37";"CA 909";"3364";"2985";"14:45:00";"17:55:00";"751";"Boeing 777-200/200ER"
"38";"AF 1745";"2985";"1382";"19:45:00";"22:40:00";"137";"Airbus A321"
"39";"LH 1046";"340";"1382";"18:20:00";"19:30:00";"3320";"Airbus A320 (Sharklets)"
"40";"KL 1245";"580";"1382";"18:45:00";"20:00:00";"3090";"Boeing 737"
"41";"OS 64";"3364";"1613";"12:20:00";"16:30:00";"491";"Boeing 777-200/200ER"
"42";"OS 417";"1613";"1382";"18:20:00";"20:25:00";"491";"Airbus A320"
"43";"LH 1030";"340";"1382";"10:30:00";"11:40:00";"3320";"Airbus A320 (Sharklets)"
"44";"CA 861";"3364";"1665";"14:30:00";"19:25:00";"751";"Airbus A330"
"45";"AF 1043";"1665";"1382";"21:30:00";"22:40:00";"137";"Airbus A320"
"46";"CA 937";"3364";"507";"15:10:00";"18:45:00";"751";"Boeing 777-300"
"47";"AF 1181";"507";"1382";"21:10:00";"23:20:00";"137";"Airbus A318"
"48";"SU 201";"3364";"2985";"03:30:00";"06:30:00";"130";"Airbus A330-200"
"49";"SU 2452";"2985";"1382";"08:50:00";"11:45:00";"130";"Airbus A321 (Sharklets)"
"50";"SU 2450";"2985";"1382";"08:50:00";"11:45:00";"130";"Airbus A320"
"51";"CA 911";"3364";"737";"14:50:00";"18:20:00";"751";"Airbus A330-300"
"52";"AF 1063";"737";"1382";"20:25:00";"23:05:00";"137";"Airbus A321"
"53";"CA 939";"3364";"1555";"14:40:00";"19:55:00";"751";"Boeing 787-900"
"54";"AF 1405";"1555";"1382";"21:00:00";"23:10:00";"137";"Airbus A320"
"55";"CA 963";"3364";"345";"02:50:00";"07:05:00";"751";"Airbus A330"
"56";"AF 1307";"345";"1382";"10:15:00";"11:30:00";"137";"Embraer 190"
"57";"CA 781";"3364";"1678";"04:05:00";"08:55:00";"751";"Airbus A330"
"58";"AF 1115";"1678";"1382";"11:25:00";"12:45:00";"137";"Airbus A318"
"59";"LH 1052";"340";"1382";"22:30:00";"23:40:00";"3320";"Airbus A320"
"60";"BA 326";"507";"1382";"21:35:00";"23:50:00";"1355";"Airbus A320"
"61";"SU 2460";"2985";"1382";"20:35:00";"23:30:00";"130";"Airbus A320"
"62";"SU 2462";"2985";"1382";"12:45:00";"15:40:00";"130";"Airbus A321"
"63";"BA 38";"3364";"507";"12:15:00";"16:30:00";"1355";"Boeing 777"
"64";"BA 322";"507";"1382";"18:45:00";"21:05:00";"1355";"Airbus A320"
"65";"HU 491";"3364";"302";"02:20:00";"07:10:00";"2660";"Airbus A330-300"
"66";"SN 3629";"302";"1382";"10:25:00";"11:20:00";"1531";"Boeing 737-300"
"67";"J2 68";"3364";"2922";"02:15:00";"06:15:00";"197";"Boeing 767"
"68";"J2 73";"2922";"1382";"07:30:00";"11:20:00";"197";"Airbus A320"
"69";"AZ 791";"3364";"1555";"10:15:00";"15:25:00";"596";"Airbus A330"
"70";"AF 1105";"1555";"1382";"17:10:00";"19:20:00";"137";"Airbus A321"
"71";"AF 1141";"580";"1382";"19:45:00";"21:00:00";"137";"Airbus A320"
"72";"SU 205";"3364";"2985";"12:40:00";"15:55:00";"130";"Airbus A330-300"
"73";"SU 261";"2985";"1382";"18:55:00";"21:50:00";"130";"Airbus A320"
"74";"AF 1145";"2985";"1382";"09:45:00";"12:45:00";"137";"Airbus A319"
"75";"TK 21";"3364";"1701";"01:10:00";"06:25:00";"4951";"Boeing 777-300ER"
"76";"TK 1821";"1701";"1382";"07:55:00";"10:35:00";"4951";"Boeing 777-300ER"
"77";"AF 1519";"340";"1382";"11:25:00";"12:55:00";"137";"Embraer 190"
"78";"AF 1023";"346";"1382";"21:30:00";"23:10:00";"137";"Airbus A320"
"79";"PS 288";"3364";"2939";"03:40:00";"09:35:00";"5282";"Boeing 767"
"80";"PS 127";"2939";"1382";"10:55:00";"13:20:00";"5282";"Boeing 737-700 (Mixed Configuration)"
"81";"AF 1615";"1678";"1382";"16:05:00";"17:25:00";"137";"Airbus A318"
"82";"LH 2228";"346";"1382";"10:25:00";"11:55:00";"3320";"Airbus A320 (Sharklets)"
"83";"AZ 332";"1555";"1382";"22:15:00";"24:25:00";"596";"Airbus A321"
"84";"HU 489";"3364";"351";"14:20:00";"18:30:00";"2660";"Airbus A330-300"
"85";"AB 8290";"351";"1382";"22:25:00";"24:10:00";"214";"Airbus A320"
"86";"CA 123";"3364";"3930";"09:30:00";"12:35:00";"751";"Airbus A321"
"87";"KE 901";"3930";"1382";"14:05:00";"19:30:00";"3163";"Airbus A380-800"
"88";"BA 338";"507";"1386";"20:00:00";"22:20:00";"1355";"Airbus A319"
"89";"CA 1205";"3364";"3379";"21:20:00";"23:30:00";"751";"Airbus A321"
"90";"HU 7907";"3379";"1382";"02:00:00";"07:25:00";"2660";"Airbus A330"
"91";"AF 1305";"1555";"1382";"18:30:00";"20:40:00";"137";"Airbus A320 (Sharklets)"
"92";"CA 135";"3364";"3930";"08:15:00";"11:30:00";"751";"Boeing 737-800"
"93";"OZ 501";"3930";"1382";"13:30:00";"18:50:00";"28";"Boeing 777-200/200ER"
"94";"CA 907";"3364";"1229";"02:25:00";"07:55:00";"751";"Boeing 787-900"
"95";"AF 1001";"1229";"1382";"11:00:00";"13:05:00";"137";"Airbus A319"
"96";"CA 8202";"3364";"3376";"07:00:00";"09:20:00";"751";"Airbus A320"
"97";"AF 139";"3376";"1382";"11:35:00";"17:45:00";"137";"Airbus A330-200"
"98";"3U 8890";"3364";"3395";"21:30:00";"24:40:00";"4608";"Airbus A321"
"99";"CA 457";"3395";"1382";"02:50:00";"08:20:00";"751";"Airbus A330"
"100";"CA 4120";"3364";"3395";"21:30:00";"24:35:00";"751";"Airbus A321"
"101";"MU 5130";"3364";"3406";"20:15:00";"22:35:00";"1758";"Airbus A321"
"102";"MU 553";"3406";"1382";"01:05:00";"07:30:00";"1758";"Boeing 777-300"
"103";"KE 858";"3364";"3930";"03:30:00";"06:35:00";"3163";"Boeing 737-800 (Winglets)"
